sampleid	covariate	cofounder1	cofounder2
X10483.recip.585.ASO.OBAWT.D49	healthy	2.11566453986218	0
X10483.recip.436.ASO.PD3.D14	unhealthy	-0.894584975720343	0
X10483.recip.642.ASO.HC6.D14	unhealthy	-1.65648927002885	0
X10483.recip.650.ASO.PD6.D7	unhealthy	0.279380635277962	0
X10483.recip.642.ASO.HC6.D49	unhealthy	0.827130653332793	0
X10483.recip.465.ASO.PD3.D14	healthy	0.883001091493566	0
X10483.recip.411.ASO.HC2.D49	unhealthy	0.90786535779391	0
X10483.recip.413.WT.HC2.D7	unhealthy	0.635958006475113	0
X10483.recip.467.WT.HC3.D7.b	healthy	-0.854867709209234	0
X10483.recip.413.WT.HC2.D14	unhealthy	-0.467924635018426	0
X10483.recip.456.ASO.HC3.D7	unhealthy	-0.665422352719545	0
X10483.recip.412.ASO.HC2.D7	unhealthy	0.894998967085068	0
X10483.recip.436.ASO.PD3.D21	unhealthy	3.21469625212051	0
X10483.recip.654.ASO.HC6.D7	unhealthy	-0.375721788794571	0
X10483.recip.643.WT.HC6.D14	healthy	0.166939996667045	0
X10483.recip.391.ASO.PD2.D49	unhealthy	-0.371352944520383	0
X10483.recip.640.ASO.HC6.D7	unhealthy	-0.846227742468255	0
X10483.recip.639.WT.PD6.D14	unhealthy	-0.749152290098624	0
X10483.recip.652.ASO.HC6.D7	healthy	0.741170984826872	0
X10483.recip.452.ASO.PD3.D21	unhealthy	-0.156578350238843	0
X10483.recip.635.ASO.HC5.D49	unhealthy	0.51220413181172	0
X10483.donor3.PD	healthy	0.499279206764486	0
X10483.recip.401.ASO.HC2.D7	unhealthy	0.732930366112409	0
X10483.recip.220.WT.OB1.D7	healthy	1.65011896302467	0
X10483.recip.542.WT.HC4.D49	unhealthy	-0.448241434750599	0
X10483.recip.389.WT.HC2.D49	unhealthy	0.863431745163091	0
X10483.recip.320.WT.PD1.D21	healthy	0.0489997970737232	0
X10483.recip.544.ASO.HC4.D7	unhealthy	-0.992030515541143	0
X10483.recip.625.ASO.HC5.D14	unhealthy	0.552240494147363	0
X10483.recip.436.ASO.PD3.D49	healthy	0.290407959980633	0
X10483.recip.638.ASO.PD6.D7	unhealthy	0.778609421377289	0
X10483.recip.462.WT.PD3.D14	unhealthy	0.979452951842476	0
X10483.recip.386.WT.PD2.D14	healthy	-0.187183713702479	0
X10483.recip.624.WT.HC5.D14	unhealthy	-0.693385003571731	0
X10483.recip.546.ASO.PD4.D14	unhealthy	-1.01703917197155	0
X10483.recip.435.ASO.HC3.D14	unhealthy	-0.915945776615063	0
X10483.recip.466.ASO.PD3.D14	healthy	-0.702864819551723	0
X10483.recip.540.ASO.HC4.D21	unhealthy	0.00643683148083779	0
X10483.recip.636.ASO.PD6.D749	unhealthy	1.48614684892822	0
X10483.recip.549.WT.PD4.D14	unhealthy	-0.425264910055595	0
X10483.recip.411.ASO.HC2.D7	healthy	0.209611512891904	0
X10483.recip.463.WT.PD3.D7	unhealthy	0.22558962308121	0
X10483.donor4.PD	unhealthy	0.210041322576413	0
X10483.recip.389.WT.HC2.D14	unhealthy	-1.55488427311711	0
X10483.recip.452.ASO.PD3.D7	unhealthy	0.865554880785131	0
X10483.recip.452.ASO.PD3.D49	unhealthy	-0.00779682256050554	0
X10483.recip.316WT.HC1.D21	healthy	1.45128917233858	0
X10483.recip.317.ASO.HC1.D7	unhealthy	0.839850677151407	0
X10483.recip.315.WT.HC1.D49	healthy	1.19075411995598	0
X10483.recip.457.WT.HC3.D7	healthy	1.67953358120983	0
X10483.recip.634.WT.HC5.D7	unhealthy	-0.0733235338082243	0
X10483.donor2.PD	unhealthy	0.623351590056162	0
X10483.recip.466.ASO.PD3.D49	unhealthy	0.714986999662837	0
X10483.recip.540.ASO.HC4.D7	unhealthy	1.01170581043662	0
X10483.recip.317.ASO.HC1.D49	unhealthy	1.78521428994946	0
X10483.recip.465.ASO.PD3.D7	unhealthy	0.367377656804476	0
X10483.recip.457.WT.HC3.D14	unhealthy	-1.27376329157049	0
X10483.recip.411.ASO.HC2.D21	unhealthy	-1.28034740451098	0
X10483.recip.437.ASO.HC3.D7	healthy	1.3968168046187	0
X10483.recip.614.WT.PD5.D14	healthy	-0.383477667004356	0
X10483.recip.542.WT.HC4.D21	unhealthy	-1.13148208318011	0
X10483.recip.312.WT.HC1.D14	healthy	0.174067327149637	0
X10483.recip.584.ASO.OBAWT.D49	unhealthy	-0.00607181125764888	0
X10483.recip.639.WT.PD6.D49	unhealthy	0.403803218299351	0
X10483.recip.387.WT.PD2.D49	unhealthy	0.757761434293836	0
X10483.recip.467.WT.HC3.D49.a	healthy	-1.05922706135352	0
X10483.recip.325.ASO.PD1.D7	unhealthy	-1.52538550466267	0
X10483.recip.536.ASO.PD4.D14	healthy	1.3002754565017	0
X10483.recip.647.ASO.PD6.D49	unhealthy	-0.438989593568999	0
X10483.recip.633.ASO.HC5.D7	unhealthy	-1.11472588085773	0
X10483.recip.456.ASO.HC3.D21	healthy	0.272957881448639	0
X10483.recip.313.ASO.HC1.D7	unhealthy	-1.08652268051443	0
X10483.recip.226.ASO.OB1.D7	healthy	1.27897407631431	0
X10483.recip.620.ASO.HC5.D49	healthy	-0.264965430514015	0
X10483.recip.325.ASO.PD1.D49	unhealthy	0.339583085673609	0
X10483.recip.536.ASO.PD4.D7	unhealthy	-0.88005813061833	0
X10483.recip.634.WT.HC5.D14	unhealthy	-0.116230100104839	0
X10483.recip.641.ASO.HC6.D14	unhealthy	0.709277781819277	0
