method	recall	recall3	recall4	precision	precision3	precision4	fpr	fpr3	fpr4	fdr	fdr3	fdr4	F1	F13	F14
FlashWeave	0.38	0.57	0.6	0.633333333333333	0.662790697674419	0.666666666666667	0.055	0.0725	0.075	0.366666666666667	0.337209302325581	0.333333333333333	0.475	0.612903225806452	0.631578947368421
FlashWeave	0.2475	0.3425	0.3475	0.767441860465116	0.78735632183908	0.776536312849162	0.01875	0.023125	0.025	0.232558139534884	0.21264367816092	0.223463687150838	0.374291115311909	0.477351916376307	0.48013816925734
FlashWeave	0.16	0.213333333333333	0.216666666666667	0.690647482014389	0.72316384180791	0.726256983240223	0.0179166666666667	0.0204166666666667	0.0204166666666667	0.309352517985612	0.27683615819209	0.273743016759777	0.259810554803789	0.329472329472329	0.333761232349166
FlashWeave	0.124691358024691	0.161728395061728	0.166666666666667	0.801587301587302	0.798780487804878	0.784883720930233	0.00771604938271605	0.0101851851851852	0.0114197530864198	0.198412698412698	0.201219512195122	0.215116279069767	0.215811965811966	0.268993839835729	0.274949083503055
FlashWeave	0.0823529411764706	0.130392156862745	0.140196078431373	0.756756756756757	0.806060606060606	0.8125	0.00661764705882353	0.00784313725490196	0.00808823529411765	0.243243243243243	0.193939393939394	0.1875	0.148541114058355	0.224472573839662	0.239130434782609
FlashWeave	0.0691056910569106	0.102439024390244	0.104065040650407	0.726495726495726	0.754491017964072	0.752941176470588	0.00650406504065041	0.00833333333333333	0.00853658536585366	0.273504273504274	0.245508982035928	0.247058823529412	0.126206384558278	0.180386542591267	0.182857142857143
FlashWeave	0.0638888888888889	0.100694444444444	0.102777777777778	0.741935483870968	0.78804347826087	0.783068783068783	0.00555555555555556	0.00677083333333333	0.00711805555555556	0.258064516129032	0.21195652173913	0.216931216931217	0.117647058823529	0.178571428571429	0.1817065684469
FlashWeave	0.06125	0.084375	0.08625	0.705035971223022	0.741758241758242	0.741935483870968	0.00640625	0.00734375	0.0075	0.294964028776978	0.258241758241758	0.258064516129032	0.112708453133985	0.151515151515152	0.154535274356103
FlashWeave	0.0433333333333333	0.0666666666666667	0.0711111111111111	0.772277227722772	0.794701986754967	0.790123456790123	0.00319444444444444	0.00430555555555556	0.00472222222222222	0.227722772277228	0.205298013245033	0.209876543209877	0.0820620725933719	0.123013839056894	0.130479102956167
FlashWeave	0.048	0.069	0.0705	0.727272727272727	0.770949720670391	0.770491803278688	0.0045	0.005125	0.00525	0.272727272727273	0.229050279329609	0.229508196721311	0.0900562851782364	0.126663607159247	0.129180027485112
ANCOM-BC	0.21	0	0	0.807692307692308	0	0	0.0125	0	0	0.192307692307692	0	0	0.333333333333333	0	0
ANCOM-BC	0.085	0	0	0.739130434782609	0	0	0.0075	0	0	0.260869565217391	0	0	0.152466367713005	0	0
ANCOM-BC	0.04	0	0	0.6	0	0	0.00666666666666667	0	0	0.4	0	0	0.075	0	0
ANCOM-BC	0.0345679012345679	0	0	0.736842105263158	0	0	0.00308641975308642	0	0	0.263157894736842	0	0	0.0660377358490566	0	0
ANCOM-BC	0.0264705882352941	0	0	0.794117647058823	0	0	0.0017156862745098	0	0	0.205882352941176	0	0	0.0512333965844402	0	0
ANCOM-BC	0.0203252032520325	0	0	0.714285714285714	0	0	0.00203252032520325	0	0	0.285714285714286	0	0	0.0395256916996047	0	0
ANCOM-BC	0.0138888888888889	0	0	0.625	0	0	0.00208333333333333	0	0	0.375	0	0	0.0271739130434783	0	0
ANCOM-BC	0.01375	0	0	0.628571428571429	0	0	0.00203125	0	0	0.371428571428571	0	0	0.0269113149847095	0	0
ANCOM-BC	0.0122222222222222	0	0	0.628571428571429	0	0	0.00180555555555556	0	0	0.371428571428571	0	0	0.0239782016348774	0	0
ANCOM-BC	0.0195	0	0	0.735849056603774	0	0	0.00175	0	0	0.264150943396226	0	0	0.0379931807111544	0	0
ANCOM-BC2	0.005	0	0	0.333333333333333	0	0	0.0025	0	0	0.666666666666667	0	0	0.00985221674876847	0	0
ANCOM-BC2	0.0075	0	0	0.5	0	0	0.001875	0	0	0.5	0	0	0.0147783251231527	0	0
ANCOM-BC2	0.01	0	0	0.5	0	0	0.0025	0	0	0.5	0	0	0.0196078431372549	0	0
ANCOM-BC2	0.00617283950617284	0	0	0.5	0	0	0.00154320987654321	0	0	0.5	0	0	0.0121951219512195	0	0
ANCOM-BC2	0.00294117647058824	0	0	0.6	0	0	0.000490196078431373	0	0	0.4	0	0	0.00585365853658537	0	0
ANCOM-BC2	0.0048780487804878	0	0	0.6	0	0	0.000813008130081301	0	0	0.4	0	0	0.00967741935483871	0	0
ANCOM-BC2	0.00208333333333333	0	0	0.428571428571429	0	0	0.000694444444444444	0	0	0.571428571428571	0	0	0.00414651002073255	0	0
ANCOM-BC2	0.0025	0	0	0.571428571428571	0	0	0.00046875	0	0	0.428571428571429	0	0	0.00497822028624767	0	0
ANCOM-BC2	0.005	0	0	0.75	0	0	0.000416666666666667	0	0	0.25	0	0	0.00993377483443709	0	0
ANCOM-BC2	0.0075	0	0	0.789473684210526	0	0	5e-04	0	0	0.210526315789474	0	0	0.0148588410104012	0	0
